FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
QWRGDYBWXRTGFZFX	Mustard Oil 1L	MUSTARD 1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		1 LTR	COMMODITY	JIVO	LTR	1	OIL	Y	Y	6.875
HNYHYRSYJPMYEGUX	Sano_honey_500g-Local	SANO HONEY 500 GM	FLIPKART			HONEY	HONEY		500 GMS	OTHER	SANO	GMS		OTHER	N	N	0
EDSH5AVGYVMTPZEC	Jivo Pumpkin Seeds 400gm	PUMPKIN SEEDS 400 GM	FLIPKART			SEEDS	PUMPKIN SEED		400 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDSH5AVJZCSAN5P3	Jivo Sunflower Seeds 200gm.	SUNFLOWER SEEDS 200 GM	FLIPKART			SEEDS	SUNFLOWER SEEDS		200 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOHYRSHNGG6GDGR	New_FL-Extra Light 2 L-Local	EXTRA LIGHT 2L	FLIPKART			OLIVE	EXTRA LIGHT		2 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
EDOHYSJ8BZYGCSBU	New_Mustard Oil 2L-Local	JIVO MUSTARD 1+1L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		1+1 LTR	COMMODITY	JIVO	LTR	2	OIL	Y	Y	7.875
SCMH4H8NCH2PKYWV	Green Cardamom 100g	GREEN CARDAMOM 100GM	FLIPKART			SPICES	GREEN CARDAMOM		100 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOHYSGGV6BPGCHD	New_Mustard Oil 5L-Local	MUSTARD 5L	FLIPKART			MUSTARD	MUSTARD KACCHI GHANI		5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
DAJH8RDQPBHXAAZT	JIVO-Wheatgrass_Mango_3PCS_1500ML	WG MANGO 500 ML 3PCS	FLIPKART			DRINKS	MANGO	3	500 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
DAJH7VF9GTUFZZ5K	Wheatgrass_Mango_500ML_6PCS	WG MANGO 500 ML 6PCS	FLIPKART			DRINKS	MANGO	6	500 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
EDSGXE59S7AGKHUG	Chiaseed 400jar	CHIA SEEDS 400 GM	FLIPKART			SEEDS	CHIA SEEDS		400 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
DAJH8Z2ZYB7KHGUF	Zero_Sugar_Mango_500ml_Pack of_3_1.5L	WG MANGO SF 500 ML 3PCS	FLIPKART			DRINKS	MANGO SF	3	500 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
DAJHCKT6KVUGR3GZ	Wheatgrass_Mango_500ML_3PCS	WG MANGO 500 ML 3PCS	FLIPKART			DRINKS	MANGO	3	500 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
DAJH7WFGYFTTVJVZ	Wheatgrass_Mango_6PCS	WG MANGO 500 ML 3PCS	FLIPKART			DRINKS	MANGO	6	500 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
EDOHYRPCTWGRKWKU	New_Extra Light 3L-Local	EXTRA LIGHT 1+1+1L	FLIPKART			OLIVE	EXTRA LIGHT		1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
CFEGMJ5GJE7HD3DQ	Coffee 100g	Coffee 100g	FLIPKART			COFFEE	COFFEE		100 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
ARDHCJMTXHZ5HQDA	Punjabi_Masala_Jeera_160ml_Pack_Of_24	PUNJABI JEERA 160 ML 24 PCS	FLIPKART			DRINKS	PUNJABI JEERA	24	160 MLS	OTHER	JIVO	LTR		BEVERAGE	Y	N	0
SCMH3FHAUZYSNUAB	Cumin100G	CUMIN SEEDS 100GM	FLIPKART			SPICES	CUMIN		100 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
QWRGEMR8V55BHCJK	Pomace 5L_Shopsy	JIVO POMACE 5L	FLIPKART	FG0000008	POMACE OLIVE 5 LTR TIN 4 PCS	OLIVE	JIVO POMACE	4	5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	26.875
QWRGEMPHENBFJTME	Canola 5L_Shopsy	CANOLA 5L	FLIPKART	FG0000004	COLD PRESS 5 LTR 4 PCS	CANOLA	CANOLA	4	5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
QWRGEMQZXAYWVM4M	Mustard Oil 2L_Shopsy	MUSTARD 1+1L	FLIPKART	FG0000038	MUSTARD KACCHI GHANI 2 LTR 10 PCS	MUSTARD	MUSTARD KACCHI GHANI	10	1+1 LTR	COMMODITY	JIVO	LTR	2	OIL	Y	Y	7.875
QWRGEMP5ZQZFEKGJ	Extra Light 5L_Shopsy	EXTRA LIGHT 5L	FLIPKART			OLIVE	EXTRA LIGHT		5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	26.875
IOMGG4YN5WGXGQCW	A2 Cow Ghee 500ml-shopsy	A2 GHEE 500G	FLIPKART			GHEE	A2 GHEE		500 MLS	PREMIUM	JIVO	LTR	0.5	OIL	Y	Y	6.875
QWRGEMQWQCHJBZHF	Pomace 1L_Shopsy	JIVO POMACE 1L	FLIPKART	FG0000028	POMACE OLIVE 1 LTR 16 PCS	OLIVE	JIVO POMACE	16	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
IOMGG4YWHHYW3Z6Y	A2 Cow Ghee 1kg-shopsy	A2 GHEE 1KG	FLIPKART	FG0000083	DESI GHEE A2 1 LTR 9 PCS	GHEE	A2 GHEE	9	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
QWRGEMPJJGDRYACC	Extra Light 3L_Shopsy	EXTRA LIGHT 1+1+1L	FLIPKART	FG0000310	EXTRA LIGHT 1 LTR PACK OF 3 SET	OLIVE	EXTRA LIGHT	3	1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
